;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a;VatS41-13a
1503.1;0;258;109;155;150;152;152;155;39;164;127
Flor232;258;0;270;240;303;247;247;251;260;252;289
FlorPanc27;109;270;0;121;124;113;114;116;119;133;22
Giunta;155;240;121;0;41;4;5;9;156;50;115
ModD4;150;303;124;41;0;37;38;42;164;84;136
Pet1505;152;247;113;4;37;0;1;5;156;46;113
Pet1515;152;247;114;5;38;1;0;6;154;47;114
Pet1519;155;251;116;9;42;5;6;0;160;51;117
SGall463;39;260;119;156;164;156;154;160;0;161;137
VatS41-13+13a;164;252;133;50;84;46;47;51;161;0;110
VatS41-13a;127;289;22;115;136;113;114;117;137;110;0
;;;;;;;;;;;
1503.1;0;256,5;143,36607;145,06815;172,7244;141,67493;142,62805;146,52649;39;151,6994;145,99107
Flor232;256,5;0;254,00893;255,71101;283,36726;252,31778;253,27091;257,16935;261,5;262,34226;256,63393
FlorPanc27;143,36607;254,00893;0;112,53542;140,19167;109,14219;110,09531;113,99375;148,36607;119,16667;22
Giunta;145,06815;255,71101;112,53542;0;40,59375;4,0651;5,01823;8,91667;150,06815;50,94375;115,16042
ModD4;172,7244;283,36726;140,19167;40,59375;0;37,20052;38,15365;42,05208;177,7244;78,6;142,81667
Pet1505;141,67493;252,31778;109,14219;4,0651;37,20052;0;1;5,02344;146,67493;47,55052;111,76719
Pet1515;142,62805;253,27091;110,09531;5,01823;38,15365;1;0;5,97656;147,62805;48,50365;112,72031
Pet1519;146,52649;257,16935;113,99375;8,91667;42,05208;5,02344;5,97656;0;151,52649;52,40208;116,61875
SGall463;39;261,5;148,36607;150,06815;177,7244;146,67493;147,62805;151,52649;0;156,6994;150,99107
VatS41-13+13a;151,6994;262,34226;119,16667;50,94375;78,6;47,55052;48,50365;52,40208;156,6994;0;121,79167
VatS41-13a;145,99107;256,63393;22;115,16042;142,81667;111,76719;112,72031;116,61875;150,99107;121,79167;0
;;;;;;;;;;;
1503.1;0;1,5;-34,36607;9,93185;-22,7244;10,32507;9,37195;8,47351;0;12,3006;-18,99107
Flor232;1,5;0;15,99107;-15,71101;19,63274;-5,31778;-6,27091;-6,16935;-1,5;-10,34226;32,36607
FlorPanc27;-34,36607;15,99107;0;8,46458;-16,19167;3,85781;3,90469;2,00625;-29,36607;13,83333;0
Giunta;9,93185;-15,71101;8,46458;0;0,40625;-0,0651;-0,01823;0,08333;5,93185;-0,94375;-0,16042
ModD4;-22,7244;19,63274;-16,19167;0,40625;0;-0,20052;-0,15365;-0,05208;-13,7244;5,4;-6,81667
Pet1505;10,32507;-5,31778;3,85781;-0,0651;-0,20052;0;0;-0,02344;9,32507;-1,55052;1,23281
Pet1515;9,37195;-6,27091;3,90469;-0,01823;-0,15365;0;0;0,02344;6,37195;-1,50365;1,27969
Pet1519;8,47351;-6,16935;2,00625;0,08333;-0,05208;-0,02344;0,02344;0;8,47351;-1,40208;0,38125
SGall463;0;-1,5;-29,36607;5,93185;-13,7244;9,32507;6,37195;8,47351;0;4,3006;-13,99107
VatS41-13+13a;12,3006;-10,34226;13,83333;-0,94375;5,4;-1,55052;-1,50365;-1,40208;4,3006;0;-11,79167
VatS41-13a;-18,99107;32,36607;0;-0,16042;-6,81667;1,23281;1,27969;0,38125;-13,99107;-11,79167;0
