;1503.1;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a;VatS41-13a;FlorPanc27
1503.1;0;199;198;196;197;200;27;205;104;93
Giunta;199;0;32;2;3;7;198;32;112;117
ModD4;198;32;0;30;31;35;201;46;127;124
Pet1505;196;2;30;0;1;5;194;30;112;117
Pet1515;197;3;31;1;0;6;195;31;113;118
Pet1519;200;7;35;5;6;0;198;35;115;120
SGall463;27;198;201;194;195;198;0;205;102;95
VatS41-13+13a;205;32;46;30;31;35;205;0;103;122
VatS41-13a;104;112;127;112;113;115;102;103;0;19
FlorPanc27;93;117;124;117;118;120;95;122;19;0
;;;;;;;;;;
1503.1;0;197,75305;209,30774;195,89368;196,89368;200,50305;27;196,22024;101,17857;94,25
Giunta;197,75305;0;31,99219;2;3;6,90625;197,25305;32,48281;111,99115;117,64591
ModD4;209,30774;31,99219;0;30,13281;31,13281;34,74219;208,80774;44,0375;123,54583;129,2006
Pet1505;195,89368;2;30,13281;0;1;5,04688;195,39368;30,62344;110,13177;115,78653
Pet1515;196,89368;3;31,13281;1;0;6,04688;196,39368;31,62344;111,13177;116,78653
Pet1519;200,50305;6,90625;34,74219;5,04688;6,04688;0;200,00305;35,23281;114,74115;120,39591
SGall463;27;197,25305;208,80774;195,39368;196,39368;200,00305;0;195,72024;100,67857;93,75
VatS41-13+13a;196,22024;32,48281;44,0375;30,62344;31,62344;35,23281;195,72024;0;110,45833;116,1131
VatS41-13a;101,17857;111,99115;123,54583;110,13177;111,13177;114,74115;100,67857;110,45833;0;21,07143
FlorPanc27;94,25;117,64591;129,2006;115,78653;116,78653;120,39591;93,75;116,1131;21,07143;0
