;Giunta;ModD4;Pet1505;Pet1515;Pet1519;VatS41-13
Giunta;0;86;12;14;17;314
ModD4;86;0;84;86;89;291
Pet1505;12;84;0;2;5;308
Pet1515;14;86;2;0;7;308
Pet1519;17;89;5;7;0;310
VatS41-13;314;291;308;308;310;0
;;;;;;
Giunta;0;88,125;12,29167;14,04167;16,66667;311,875
ModD4;88,125;0;83,58333;85,33333;87,95833;291
Pet1505;12,29167;83,58333;0;2;5,125;307,33333
Pet1515;14,04167;85,33333;2;0;6,875;309,08333
Pet1519;16,66667;87,95833;5,125;6,875;0;311,70833
VatS41-13;311,875;291;307,33333;309,08333;311,70833;0
