;Giunta;ModD4;Pet-1505;VatS41;;;;;;;
Giunta;0;69;40;62;;;;;;;
ModD4;69;0;45;68;;;Giunta;;GiuntaModD4;;31,75
Pet-1505;40;45;0;34;;;ModD4;;GiuntaModD4;;37,25
VatS41;62;68;34;0;;;Pet-1505;;Pet-1505VatS41;;5,75
;;;;;;;VatS41;;Pet-1505VatS41;;28,25
;;;;;;;GiuntaModD4;;Pet-1505VatS41;;2,25
;Giunta;ModD4;Pet-1505;VatS41;;;;;;;
Giunta;0;69;39,75;62,25;;;;;;min k/2;1,125
ModD4;;0;45,25;67,75;;;;;;;
Pet-1505;;;0;34;;;;;;;
VatS41;;;;0;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;Giunta;ModD4;Pet-1505;VatS41;;;;;;;
Giunta;0;0;0,25;-0,25;;;;;;;
ModD4;;0;-0,25;0,25;;;;;;;
Pet-1505;;;0;0;;;;;;;
VatS41;;;;0;;;;;;;
