;1503-1;1508-3;Panc27_bef;Panc27_aft;VatS41_TuSolus;;;;;;;;
1503-1;0;777;523;523;550;;;;1503-1;;1503-11508-3;;423,5
1508-3;777;0;453;449;484;;;;1508-3;;1503-11508-3;;353,5
Panc27_bef;523;453;0;1;111;;;;Panc27_bef;;Panc27_befPanc27_aft;;2
Panc27_aft;523;449;1;0;107;;;;Panc27_aft;;Panc27_befPanc27_aft;;-1
VatS41_TuSolus;550;484;111;107;0;;;;1503-11508-3;;1503-11508-3VatS41_TuSolus;;59
;;;;;;;;;VatS41_TuSolus;;1503-11508-3VatS41_TuSolus;;69,5
;;;;;;;;;1503-11508-3VatS41_TuSolus;;Panc27_befPanc27_aft;;39
;;;;;;;;;;;;;
Baumdistanzen;;;;;;;;;;;;;
;1503-1;1508-3;Panc27_bef;Panc27_aft;VatS41_TuSolus;;;;;;;;
1503-1;0;;;;;;;;;;;;
1508-3;777;0;;;;;;;;min (Kante/2);0,5;;
Panc27_bef;523,5;453,5;0;;;;;;;;;;
Panc27_aft;520,5;450,5;1;0;;;;;;;;;
VatS41_TuSolus;552;482;110,5;107,5;0;;;;;;;;
