;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a
1503.1;0;405;117;222;227;221;221;225;39;235
Flor232;405;0;393;389;438;387;387;391;403;411
FlorPanc27;117;393;0;133;134;131;132;135;124;144
Giunta;222;389;133;0;37;4;5;8;218;51
ModD4;227;438;134;37;0;33;34;37;221;62
Pet1505;221;387;131;4;33;0;1;4;217;47
Pet1515;221;387;132;5;34;1;0;5;217;48
Pet1519;225;391;135;8;37;4;5;0;219;51
SGall463;39;403;124;218;221;217;217;219;0;237
VatS41-13+13a;235;411;144;51;62;47;48;51;237;0
;;;;;;;;;;
1503.1;0;438,27679;121,5625;214,22783;232,24345;210,74085;211,65491;214,72522;39;229,56845
Flor232;438,27679;0;359,78571;395,86771;413,88333;392,38073;393,29479;396,3651;436,15179;411,20833
FlorPanc27;121,5625;359,78571;0;135,73676;153,75238;132,24978;133,16384;136,23415;119,4375;151,07738
Giunta;214,22783;395,86771;135,73676;0;36,64063;4,03385;4,94792;8,01823;212,10283;49,30938
ModD4;232,24345;413,88333;153,75238;36,64063;0;33,15365;34,06771;37,13802;230,11845;67,325
Pet1505;210,74085;392,38073;132,24978;4,03385;33,15365;0;1,00781;4;208,61585;45,8224
Pet1515;211,65491;393,29479;133,16384;4,94792;34,06771;1,00781;0;4,99219;209,52991;46,73646
Pet1519;214,72522;396,3651;136,23415;8,01823;37,13802;4;4,99219;0;212,60022;49,80677
SGall463;39;436,15179;119,4375;212,10283;230,11845;208,61585;209,52991;212,60022;0;227,44345
VatS41-13+13a;229,56845;411,20833;151,07738;49,30938;67,325;45,8224;46,73646;49,80677;227,44345;0
;;;;;;;;;;
1503.1;0;-33,27679;-4,5625;7,77217;-5,24345;10,25915;9,34509;10,27478;0;5,43155
Flor232;-33,27679;0;33,21429;-6,86771;24,11667;-5,38073;-6,29479;-5,3651;-33,15179;-0,20833
FlorPanc27;-4,5625;33,21429;0;-2,73676;-19,75238;-1,24978;-1,16384;-1,23415;4,5625;-7,07738
Giunta;7,77217;-6,86771;-2,73676;0;0,35937;-0,03385;0,05208;-0,01823;5,89717;1,69062
ModD4;-5,24345;24,11667;-19,75238;0,35937;0;-0,15365;-0,06771;-0,13802;-9,11845;-5,325
Pet1505;10,25915;-5,38073;-1,24978;-0,03385;-0,15365;0;-0,00781;0;8,38415;1,1776
Pet1515;9,34509;-6,29479;-1,16384;0,05208;-0,06771;-0,00781;0;0,00781;7,47009;1,26354
Pet1519;10,27478;-5,3651;-1,23415;-0,01823;-0,13802;0;0,00781;0;6,39978;1,19323
SGall463;0;-33,15179;4,5625;5,89717;-9,11845;8,38415;7,47009;6,39978;0;9,55655
VatS41-13+13a;5,43155;-0,20833;-7,07738;1,69062;-5,325;1,1776;1,26354;1,19323;9,55655;0
