;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a
1503.1;0;256;101;143;143;136;136;148;26;107
Flor232;256;0;260;244;322;247;246;249;252;284
FlorPanc27;101;260;0;124;125;118;119;121;108;18
Giunta;143;244;124;0;32;2;3;7;142;109
ModD4;143;322;125;32;0;30;31;35;153;115
Pet1505;136;247;118;2;30;0;1;5;137;108
Pet1515;136;246;119;3;31;1;0;6;138;109
Pet1519;148;249;121;7;35;5;6;0;139;111
SGall463;26;252;108;142;153;137;138;139;0;119
VatS41-13a;107;284;18;109;115;108;109;111;119;0
;;;;;;;;;;
1503.1;0;252,875;127,21131;132,34062;155,55417;130,27812;131,09062;134,63229;26;123,99702
Flor232;252,875;0;255,62798;260,75729;283,97083;258,69479;259,50729;263,04896;255,125;252,41369
FlorPanc27;127,21131;255,62798;0;113,0686;136,28214;111,0061;111,8186;115,36027;129,46131;18
Giunta;132,34063;260,75729;113,0686;0;32,25521;2;3,03125;7,10417;134,59063;109,85432
ModD4;155,55417;283,97083;136,28214;32,25521;0;30,19271;31,00521;34,54688;157,80417;133,06786
Pet1505;130,27813;258,69479;111,0061;2;30,19271;0;0,96875;5,04167;132,52813;107,79182
Pet1515;131,09063;259,50729;111,8186;3,03125;31,00521;0,96875;0;5,85417;133,34063;108,60432
Pet1519;134,63229;263,04896;115,36027;7,10417;34,54688;5,04167;5,85417;0;136,88229;112,14598
SGall463;26;255,125;129,46131;134,59062;157,80417;132,52812;133,34062;136,88229;0;126,24702
VatS41-13a;123,99702;252,41369;18;109,85432;133,06786;107,79182;108,60432;112,14598;126,24702;0
