;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;VatS41-13+13a
1503.1;0;130;74;116;121;116;116;116;4;84;118
1508.3;130;0;78;127;124;131;138;131;132;83;129
FlorPanc27;74;78;0;102;103;102;103;102;91;1;102
Giunta;116;127;102;0;8;1;2;2;116;99;6
ModD4;121;124;103;8;0;7;8;8;121;100;12
Pet1505;116;131;102;1;7;0;1;1;116;99;5
Pet1515;116;138;103;2;8;1;0;2;116;100;6
Pet1519;116;131;102;2;8;1;2;0;116;99;6
SGall463;4;132;91;116;121;116;116;116;0;87;118
VatS41-13a;84;83;1;99;100;99;100;99;87;0;102
VatS41-13+13a;118;129;102;6;12;5;6;6;118;102;0
;;;;;;;;;;;
1503.1;0;122,02778;90,96528;115,22778;116,46528;114,75903;115,82153;115,60278;4;90,09028;117,79028
1508.3;122,02778;0;80,9375;130,575;131,8125;130,10625;131,16875;130,95;124,47222;80,0625;133,1375
FlorPanc27;90,96528;80,9375;0;99,5125;100,75;99,04375;100,10625;99,8875;93,40972;1;102,075
Giunta;115,22778;130,575;99,5125;0;7,9875;1,03125;2,09375;1,875;117,67222;98,6375;5,625
ModD4;116,46528;131,8125;100,75;7,9875;0;7,51875;8,58125;8,3625;118,90972;99,875;10,55
Pet1505;114,75903;130,10625;99,04375;1,03125;7,51875;0;1;0,96875;117,20347;98,16875;5,15625
Pet1515;115,82153;131,16875;100,10625;2,09375;8,58125;1;0;2,03125;118,26597;99,23125;6,21875
Pet1519;115,60278;130,95;99,8875;1,875;8,3625;0,96875;2,03125;0;118,04722;99,0125;6
SGall463;4;124,47222;93,40972;117,67222;118,90972;117,20347;118,26597;118,04722;0;92,53472;120,23472
VatS41-13a;90,09028;80,0625;1;98,6375;99,875;98,16875;99,23125;99,0125;92,53472;0;101,2
VatS41-13+13a;117,79028;133,1375;102,075;5,625;10,55;5,15625;6,21875;6;120,23472;101,2;0
;;;;;;;;;;;
1503.1;0;7,97222;-16,96528;0,77222;4,53472;1,24097;0,17847;0,39722;0;-6,09028;0,20972
1508.3;7,97222;0;-2,9375;-3,575;-7,8125;0,89375;6,83125;0,05;7,52778;2,9375;-4,1375
FlorPanc27;-16,96528;-2,9375;0;2,4875;2,25;2,95625;2,89375;2,1125;-2,40972;0;-0,075
Giunta;0,77222;-3,575;2,4875;0;0,0125;-0,03125;-0,09375;0,125;-1,67222;0,3625;0,375
ModD4;4,53472;-7,8125;2,25;0,0125;0;-0,51875;-0,58125;-0,3625;2,09028;0,125;1,45
Pet1505;1,24097;0,89375;2,95625;-0,03125;-0,51875;0;0;0,03125;-1,20347;0,83125;-0,15625
Pet1515;0,17847;6,83125;2,89375;-0,09375;-0,58125;0;0;-0,03125;-2,26597;0,76875;-0,21875
Pet1519;0,39722;0,05;2,1125;0,125;-0,3625;0,03125;-0,03125;0;-2,04722;-0,0125;0
SGall463;0;7,52778;-2,40972;-1,67222;2,09028;-1,20347;-2,26597;-2,04722;0;-5,53472;-2,23472
VatS41-13a;-6,09028;2,9375;0;0,3625;0,125;0,83125;0,76875;-0,0125;-5,53472;0;0,8
VatS41-13+13a;0,20972;-4,1375;-0,075;0,375;1,45;-0,15625;-0,21875;0;-2,23472;0,8;0
