;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13
1503.1;0;201;117;222;227;221;221;225;39;189
1508.3;201;0;159;205;205;204;204;208;208;167
FlorPanc27;117;159;0;133;134;131;132;135;124;129
Giunta;222;205;133;0;37;4;5;8;218;149
ModD4;227;205;134;37;0;33;34;37;221;156
Pet1505;221;204;131;4;33;0;1;4;217;147
Pet1515;221;204;132;5;34;1;0;5;217;147
Pet1519;225;208;135;8;37;4;5;0;219;151
SGall463;39;208;124;218;221;217;217;219;0;187
VatS41-13;189;167;129;149;156;147;147;151;187;0
;;;;;;;;;;
1503.1;0;221,32143;121,25;218,23705;221,59643;215,33341;216,12247;219,31778;39;189,82143
1508.3;221,32143;0;142,92857;203,66563;207,025;200,76198;201,55104;204,74635;219,82143;175,25
FlorPanc27;121,25;142,92857;0;139,8442;143,20357;136,94055;137,72961;140,92493;119,75;111,42857
Giunta;218,23705;203,66563;139,8442;0;36,23438;4,07552;4,86458;8,0599;216,73705;150,11563
ModD4;221,59643;207,025;143,20357;36,23438;0;33,33073;34,11979;37,3151;220,09643;153,475
Pet1505;215,33341;200,76198;136,94055;4,07552;33,33073;0;1,00781;4;213,83341;147,21198
Pet1515;216,12247;201,55104;137,72961;4,86458;34,11979;1,00781;0;4,99219;214,62247;148,00104
Pet1519;219,31778;204,74635;140,92493;8,0599;37,3151;4;4,99219;0;217,81778;151,19635
SGall463;39;219,82143;119,75;216,73705;220,09643;213,83341;214,62247;217,81778;0;188,32143
VatS41-13;189,82143;175,25;111,42857;150,11563;153,475;147,21198;148,00104;151,19635;188,32143;0
;;;;;;;;;;
1503.1;0;-20,32143;-4,25;3,76295;5,40357;5,66659;4,87753;5,68222;0;-0,82143
1508.3;-20,32143;0;16,07143;1,33437;-2,025;3,23802;2,44896;3,25365;-11,82143;-8,25
FlorPanc27;-4,25;16,07143;0;-6,8442;-9,20357;-5,94055;-5,72961;-5,92493;4,25;17,57143
Giunta;3,76295;1,33437;-6,8442;0;0,76562;-0,07552;0,13542;-0,0599;1,26295;-1,11563
ModD4;5,40357;-2,025;-9,20357;0,76562;0;-0,33073;-0,11979;-0,3151;0,90357;2,525
Pet1505;5,66659;3,23802;-5,94055;-0,07552;-0,33073;0;-0,00781;0;3,16659;-0,21198
Pet1515;4,87753;2,44896;-5,72961;0,13542;-0,11979;-0,00781;0;0,00781;2,37753;-1,00104
Pet1519;5,68222;3,25365;-5,92493;-0,0599;-0,3151;0;0,00781;0;1,18222;-0,19635
SGall463;0;-11,82143;4,25;1,26295;0,90357;3,16659;2,37753;1,18222;0;-1,32143
VatS41-13;-0,82143;-8,25;17,57143;-1,11563;2,525;-0,21198;-1,00104;-0,19635;-1,32143;0
