;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet-1505;Pet-1515;Pet-1519;SGall463;VatS41-13a
1503.1;0;169;109;155;150;152;152;155;39;127
1508.3;169;0;95;161;164;161;161;170;168;104
FlorPanc27;109;95;0;121;124;113;114;116;119;22
Giunta;155;161;121;0;41;4;5;9;156;115
ModD4;150;164;124;41;0;37;38;42;164;136
Pet-1505;152;161;113;4;37;0;1;5;156;113
Pet-1515;152;161;114;5;38;1;0;6;154;114
Pet-1519;155;170;116;9;42;5;6;0;160;117
SGall463;39;168;119;156;164;156;154;160;0;137
VatS41-13a;127;104;22;115;136;113;114;117;137;0
;;;;;;;;;;
1503.1;0;165,52083;117,9256;152,54063;156,4625;149,41823;150,11354;154,4026;39;122,78274
1508.3;165,52083;0;97,07143;163,38646;167,30833;160,26406;160,95938;165,24844;171,14583;101,92857
FlorPanc27;117,9256;97,07143;0;115,79122;119,7131;112,66882;113,36414;117,6532;123,5506;22
Giunta;152,54063;163,38646;115,79122;0;40,42188;4,10677;4,80208;9,09115;158,16563;120,64836
ModD4;156,4625;167,30833;119,7131;40,42188;0;37,29948;37,99479;42,28385;162,0875;124,57024
Pet-1505;149,41823;160,26406;112,66882;4,10677;37,29948;0;1,00781;5;155,04323;117,52597
Pet-1515;150,11354;160,95938;113,36414;4,80208;37,99479;1,00781;0;5,99219;155,73854;118,22128
Pet-1519;154,4026;165,24844;117,6532;9,09115;42,28385;5;5,99219;0;160,0276;122,51034
SGall463;39;171,14583;123,5506;158,16563;162,0875;155,04323;155,73854;160,0276;0;128,40774
VatS41-13a;122,78274;101,92857;22;120,64836;124,57024;117,52597;118,22128;122,51034;128,40774;0
;;;;;;;;;;
1503.1;0;3,47917;-8,9256;2,45937;-6,4625;2,58177;1,88646;0,5974;0;4,21726
1508.3;3,47917;0;-2,07143;-2,38646;-3,30833;0,73594;0,04062;4,75156;-3,14583;2,07143
FlorPanc27;-8,9256;-2,07143;0;5,20878;4,2869;0,33118;0,63586;-1,6532;-4,5506;0
Giunta;2,45937;-2,38646;5,20878;0;0,57812;-0,10677;0,19792;-0,09115;-2,16563;-5,64836
ModD4;-6,4625;-3,30833;4,2869;0,57812;0;-0,29948;0,00521;-0,28385;1,9125;11,42976
Pet-1505;2,58177;0,73594;0,33118;-0,10677;-0,29948;0;-0,00781;0;0,95677;-4,52597
Pet-1515;1,88646;0,04062;0,63586;0,19792;0,00521;-0,00781;0;0,00781;-1,73854;-4,22128
Pet-1519;0,5974;4,75156;-1,6532;-0,09115;-0,28385;0;0,00781;0;-0,0276;-5,51034
SGall463;0;-3,14583;-4,5506;-2,16563;1,9125;0,95677;-1,73854;-0,0276;0;8,59226
VatS41-13a;4,21726;2,07143;0;-5,64836;11,42976;-4,52597;-4,22128;-5,51034;8,59226;0
